current density,FE
5.000000,0.100000
5.000000,0.108081
5.000000,0.116162
5.000000,0.124242
5.000000,0.132323
5.000000,0.140404
5.000000,0.148485
5.000000,0.156566
5.000000,0.164646
5.000000,0.172727
5.000000,0.180808
5.000000,0.188889
5.000000,0.196970
5.000000,0.205051
5.000000,0.213131
5.000000,0.221212
5.000000,0.229293
5.000000,0.237374
5.000000,0.245455
5.000000,0.253535
5.000000,0.261616
5.000000,0.269697
5.000000,0.277778
5.000000,0.285859
5.000000,0.293939
5.000000,0.302020
5.000000,0.310101
5.000000,0.318182
5.000000,0.326263
5.000000,0.334343
5.000000,0.342424
5.000000,0.350505
5.000000,0.358586
5.000000,0.366667
5.000000,0.374747
5.000000,0.382828
5.000000,0.390909
5.000000,0.398990
5.000000,0.407071
5.000000,0.415152
5.000000,0.423232
5.000000,0.431313
5.000000,0.439394
5.000000,0.447475
5.000000,0.455556
5.000000,0.463636
5.000000,0.471717
5.000000,0.479798
5.000000,0.487879
5.000000,0.495960
5.000000,0.504040
5.000000,0.512121
5.000000,0.520202
5.000000,0.528283
5.000000,0.536364
5.000000,0.544444
5.000000,0.552525
5.000000,0.560606
5.000000,0.568687
5.000000,0.576768
5.000000,0.584848
5.000000,0.592929
5.000000,0.601010
5.000000,0.609091
5.000000,0.617172
5.000000,0.625253
5.000000,0.633333
5.000000,0.641414
5.000000,0.649495
5.000000,0.657576
5.000000,0.665657
5.000000,0.673737
5.000000,0.681818
5.000000,0.689899
5.000000,0.697980
5.000000,0.706061
5.000000,0.714141
5.000000,0.722222
5.000000,0.730303
5.000000,0.738384
5.000000,0.746465
5.000000,0.754545
5.000000,0.762626
5.000000,0.770707
5.000000,0.778788
5.000000,0.786869
5.000000,0.794949
5.000000,0.803030
5.000000,0.811111
5.000000,0.819192
5.000000,0.827273
5.000000,0.835354
5.000000,0.843434
5.000000,0.851515
5.000000,0.859596
5.000000,0.867677
5.000000,0.875758
5.000000,0.883838
5.000000,0.891919
5.000000,0.900000
8.989899,0.100000
8.989899,0.108081
8.989899,0.116162
8.989899,0.124242
8.989899,0.132323
8.989899,0.140404
8.989899,0.148485
8.989899,0.156566
8.989899,0.164646
8.989899,0.172727
8.989899,0.180808
8.989899,0.188889
